Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio 
"Angular,.NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, Django, MySQL",https://example.com/python-portfolio
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"IOS, Swift, Core Data",https://example.com/ios-portfolio
